openTime,open,high,low,close,Volume,closeTime,ema_20,ema_50,ema_100,ema_200
2026/6/27 8:00,60071.9,60167.3,59846.2,60033.4,3606.6,2026/6/27 8:59,59890.87,60258.02,61074.1,62095.02
2026/6/27 9:00,60033.4,60046.9,59904.8,59919.1,1013.63,2026/6/27 9:59,59893.56,60244.73,61051.23,62073.37
2026/6/27 10:00,59919,60349,59888.7,60256.6,4979.23,2026/6/27 10:59,59928.14,60245.2,61035.49,62055.29
2026/6/27 11:00,60256.6,60387.8,60134.5,60274.7,3264.05,2026/6/27 11:59,59961.14,60246.35,61020.43,62037.57
2026/6/27 12:00,60274.8,60472.2,60189.4,60215.9,3433.96,2026/6/27 12:59,59985.4,60245.16,61004.49,62019.45
2026/6/27 13:00,60215.9,60286,60101.9,60208.3,1945.53,2026/6/27 13:59,60006.63,60243.71,60988.73,62001.43
2026/6/27 14:00,60208.4,60492.2,60074.5,60345.3,4271.16,2026/6/27 14:59,60038.89,60247.7,60975.99,61984.95
2026/6/27 15:00,60345.2,60557.8,60266,60522.3,3356.55,2026/6/27 15:59,60084.93,60258.47,60967,61970.39
2026/6/27 16:00,60522.4,60522.5,60336.2,60425.1,2454.04,2026/6/27 16:59,60117.32,60265,60956.27,61955.02
2026/6/27 17:00,60425.2,60482.9,60261,60391.2,2310.77,2026/6/27 17:59,60143.41,60269.95,60945.08,61939.46
2026/6/27 18:00,60391.3,60466.5,60350,60390.3,1032.74,2026/6/27 18:59,60166.92,60274.67,60934.1,61924.04
2026/6/27 19:00,60390.3,60425.4,60162,60331.9,3122.38,2026/6/27 19:59,60182.63,60276.91,60922.17,61908.2
2026/6/27 20:00,60331.9,60407.1,60222.6,60394,1807.19,2026/6/27 20:59,60202.76,60281.51,60911.71,61893.13
2026/6/27 21:00,60394,60643.1,60356.1,60554.6,4154.88,2026/6/27 21:59,60236.27,60292.22,60904.64,61879.82
2026/6/27 22:00,60554.6,60697.6,60480,60588.9,3321.5,2026/6/27 22:59,60269.86,60303.85,60898.39,61866.97
2026/6/27 23:00,60589,60924.7,60541.1,60817.2,7814.95,2026/6/27 23:59,60321.98,60323.98,60896.78,61856.53
2026/6/28 0:00,60817.3,60850,60648.2,60785,2778.33,2026/6/28 0:59,60366.08,60342.06,60894.57,61845.86
2026/6/28 1:00,60784.9,60796.6,60383,60495.6,6435.89,2026/6/28 1:59,60378.42,60348.08,60886.67,61832.43
